idColar,acelerometroEixoX,acelerometroEixoY,acelerometroEixoZ,magnetometroEixoX,magnetometroEixoY,magnetometroEixoZ,giroscopioEixoX,giroscopioEixoY,giroscopioEixoZ,horario,data,velocidadeDeslocamento,comportamento
A2,-7876,6645,-10924,-375,-821,-1094,-9659,-2296,-2796,152339.212,250515,000.0,Pastando
A2,-4187,11823,-10986,-531,-647,-1224,2633,4008,12827,152341.212,250515,000.0,Pastando
A2,-7241,8370,-14676,357,-213,-1637,654,-956,2934,152425.212,250515,000.0,Pastando
A2,-9881,6656,-13777,503,-41,-1614,-2283,238,-3014,152516.213,250515,000.0,Pastando
A2,-8456,4329,-10719,520,535,-1682,-2960,4665,-3394,152518.213,250515,000.0,Pastando
A2,-8232,13204,-11155,-64,-443,-1481,-900,9662,673,152554.213,250515,000.0,Pastando
A2,-9425,7010,-10944,7,-417,-1581,2125,-2393,435,152556.213,250515,000.0,Pastando
A2,-4358,7677,-10741,-1138,-265,-559,11987,-2666,6207,152731.213,250515,000.0,Pastando
A2,-9306,3849,-23121,-455,-629,-937,2560,-315,6036,152838.213,250515,000.0,Pastando
A2,-7512,-150,-14386,696,191,-1644,207,233,3027,152945.213,250515,000.0,Pastando
A2,-3006,6251,-12978,1007,556,-1353,-2559,3246,656,153013.213,250515,000.0,Pastando
A2,-6642,7386,-8826,853,997,-1227,7025,-4768,1125,153016.213,250515,000.0,Pastando
A2,-7615,5993,-15450,811,-109,-1497,-1693,-1040,-7105,153203.213,250515,000.0,Pastando
A2,-7770,14635,-9164,211,-312,-1571,-7752,2063,-1356,153307.213,250515,000.0,Pastando
A2,-8155,7121,-11942,145,-435,-1525,-1896,-2366,-5475,153309.213,250515,000.0,Pastando
A2,3366,7134,-8077,525,-74,-1621,-1082,4964,-4120,153518.213,250515,000.0,Pastando
A2,-15292,6854,-13717,-28,-247,-1688,2834,11455,-6353,153631.213,250515,000.0,Pastando
A2,-3316,11178,-9517,-487,-530,-1285,-1735,-177,-797,153633.213,250515,000.0,Pastando
A2,-7754,8711,-14405,964,409,-1505,-3828,1838,-5509,153748.213,250515,000.0,Pastando
A2,-10537,4451,-10845,-540,-746,-1042,-2308,-611,5037,153834.214,250515,000.0,Pastando
A2,-7117,436,-15014,576,-227,-1596,-2381,4494,-989,154046.214,250515,000.0,Pastando
A2,-4425,7985,-13557,-150,-487,-1480,-445,-1222,-1765,154048.214,250515,000.0,Pastando
A2,-5214,9967,-10790,-448,-636,-1273,1078,2537,163,154050.214,250515,000.0,Pastando
A2,-512,5843,-12396,661,-101,-1595,-2754,7667,1638,154142.214,250515,000.0,Pastando
A2,-1616,4973,-11817,781,-20,-1500,645,3171,632,154144.214,250515,000.0,Pastando
A2,-2383,8435,-9175,881,781,-1450,2119,-3811,5853,154146.214,250515,000.0,Pastando
A2,-11306,4899,-17164,998,685,-1380,2955,888,2359,154148.214,250515,000.0,Pastando
A2,-7262,522,-12325,-1169,771,-209,25,-3656,-2707,154517.214,250515,000.0,Pastando
A2,-1920,6200,-7322,-1260,390,-173,-2419,3043,386,154519.214,250515,000.0,Pastando
A2,-2130,7900,-8028,-1242,533,-278,-4132,4834,-7209,154522.214,250515,000.0,Pastando
A2,-12099,8546,-10412,-1044,972,-183,-880,-581,2649,154655.214,250515,000.0,Pastando
A2,-10764,5619,-9982,-1225,522,-125,2454,-1451,-2709,154825.214,250515,000.0,Pastando
A2,-12937,9651,-10646,-1257,232,-163,-3950,-613,-8475,154828.214,250515,000.0,Pastando
A2,-14695,7868,-9289,-784,1113,123,-3893,-3557,-702,154934.214,250515,000.0,Pastando
A2,-9274,13526,-6646,-1111,804,-36,1819,-1075,-843,155011.214,250515,000.0,Pastando
A2,-8849,6869,-14950,-1210,692,-425,1013,-1924,-1170,155122.215,250515,000.0,Pastando
A2,-10736,3174,-12364,-841,1196,-143,-7266,11686,-1867,155210.215,250515,000.0,Pastando
A2,-8569,4971,-9655,-341,1557,-338,2318,-4887,-4053,155343.215,250515,000.0,Pastando
A2,-12003,4935,-10778,670,1217,-1277,1567,-2590,-371,155403.215,250515,000.0,Pastando
A2,-121,9604,-10841,171,1626,-403,615,9781,1024,155516.215,250515,002.8,Pastando
A2,-7364,8506,-10441,725,1282,-1102,61,6033,-724,155621.215,250515,000.0,Pastando
A2,-10243,3254,-8512,-96,1586,-686,-828,984,-2425,155623.215,250515,000.0,Pastando
A2,-11035,22344,-4466,394,1578,-715,-6658,-11084,-8022,155654.215,250515,002.9,Pastando
A2,-4873,11805,-12371,145,1625,-358,-2505,-2067,-3710,155657.215,250515,002.5,Pastando
A2,-6843,6838,-12137,-380,1511,-270,74,662,3519,155659.215,250515,000.0,Pastando
A2,-4894,9287,-11959,943,711,-1388,4478,-2674,2639,155742.215,250515,000.0,Pastando
A2,-2967,7143,-7768,459,-27,-1635,-1255,-4424,277,160024.215,250515,000.0,Pastando
A2,-6037,5735,-8556,621,1261,-1218,-154,-10934,-3759,160141.215,250515,000.0,Pastando
A2,-15432,7815,-12592,480,1232,-1267,-1884,-3904,1065,160143.215,250515,000.0,Pastando
A2,-4049,6967,-9628,251,-391,-1514,-5735,4853,-3402,160301.215,250515,000.0,Pastando
A2,-5979,8268,-8572,597,141,-1673,1360,3343,3847,160518.216,250515,000.0,Pastando
A2,-9448,4013,-12926,214,-339,-1586,-686,-292,530,160623.216,250515,000.0,Pastando
A2,-16437,6314,-11898,269,-243,-1649,-1666,3038,1720,160625.216,250515,000.0,Pastando
A2,-10061,4974,-12909,974,899,-1242,4026,-4328,-3792,160756.216,250515,000.0,Pastando
A2,-6093,5963,-15156,1018,842,-1230,-1561,495,-3067,160758.216,250515,000.0,Pastando
A2,-6502,7865,-11379,860,249,-1553,-1497,-3322,-2399,160800.216,250515,000.0,Pastando
A2,1555,7840,-14616,163,-616,-1356,-7226,3124,-1011,161021.216,250515,002.1,Pastando
A2,-5735,8232,-12601,146,-474,-1506,-1933,2264,-4411,161025.216,250515,002.4,Pastando
A2,-3839,4972,-10425,-283,-677,-1245,2177,3844,-2055,161028.216,250515,000.0,Pastando
A2,-7377,2828,-16180,-728,-566,-1045,4789,-1772,-3493,161443.216,250515,000.0,Pastando
A2,-10312,5416,-16263,964,443,-1417,-2616,223,-5600,161707.216,250515,000.0,Pastando
A2,-5951,6680,-11419,783,1119,-1286,2323,479,5377,161710.216,250515,000.0,Pastando
A2,-6935,6877,-12096,-382,-525,-1460,3207,-2832,4770,161944.217,250515,002.3,Pastando
